name,E_rel(kcal/mol),E_tot,attach_atom_idx,pct_V_bur
fragment_00001,0.0,-271.7499592642415,3,13.378224726658484
fragment_00002,0.0,-347.00550114073945,3,15.686064266283628
fragment_00003,0.0,-311.0889980757354,3,18.951727729662476
fragment_00004,0.0,-463.6293778714522,3,22.15431361245025
fragment_00004,0.0027428413787193425,-463.62937350045627,3,22.14858839355092
fragment_00005,0.0,-349.1904783019402,3,21.076029613373226
fragment_00006,0.0,-350.42922505456664,3,24.541668784460565
fragment_00007,0.0,-562.9303231696849,3,20.596627304628754
fragment_00007,0.00013844957663488187,-562.9303229490515,3,20.596915994371454
fragment_00008,0.0,-385.1599216269688,3,20.429255549505864
fragment_00009,0.0,-350.42886294533497,3,22.216195742535792
fragment_00009,0.00012792866688182003,-350.42886274146764,3,22.2152906101567
fragment_00009,0.01614996820430811,-350.4288372087224,3,19.242632273732404
fragment_00010,0.0,-569.6734826067216,3,21.451225345650034
