,ligand,enthalpy,TEP,v_bur_2.0,s_bur_2.0,v_bur_2.5,s_bur_2.5,v_bur_3.0,s_bur_3.0,v_bur_3.5,s_bur_3.5,v_bur_4.0,s_bur_4.0,v_bur_1.5,s_bur_1.5
0,L1,21.7,2059.99,22.207407573397873,21.585084350331915,22.037309196959765,22.006089847499542,21.92313733471673,21.013550936826288,21.160402665406043,18.494323381771,19.800814413314992,15.554440043140508,23.134288747346073,22.324022541916065
1,L2,19.12,2063.87,22.974159019693527,24.209329345165997,23.669158103348437,23.850009376003154,23.314802483856482,21.540328809444997,22.136428767373175,18.655820516850035,20.468812904483848,15.547672446462851,22.844324094722307,22.507681130242204
2,L3,20.23,2066.15,22.460046834558973,22.448182622579672,22.769482449216724,23.07577399700603,22.712068015742908,21.836356414669666,21.97009887672366,19.359635595526587,20.589076364498116,15.968773413416798,23.41443992213767,22.425971797946552
3,L4,19.78,2058.72,22.73949579831933,23.65892852728127,23.369092601405526,23.602741119332773,23.10320796460177,21.578509533592094,22.02411745824633,18.719986001568344,20.43476901933691,15.656558126590332,22.754019449089927,22.52361070994057
4,L5,13.9,2082.59,24.09458111888373,25.540718915151007,25.384669779317754,27.317135184096365,26.186757516094065,26.65451399616882,25.94576153176675,24.12695892514893,24.774366062752527,20.263521833618913,24.322530987074344,23.390328847197186
5,L6,18.95,2068.56,23.28469361458967,24.191466954101134,23.757694828960272,23.665116811217437,23.275302331600773,21.245101154538716,21.949052771993436,18.16634162460558,20.249604409712116,15.52411613918113,23.079713029555126,22.98322526448429
6,L7,20.37,2059.0,22.554621848739497,23.45565477073383,23.12752388433085,23.268579201973136,22.796769155210633,21.052945148349682,21.610091021369204,18.17277727746859,20.003452096332147,15.381910577944549,22.6377029597841,22.26870897155361
7,L8,20.91,2059.07,22.337958208063345,22.31966305465475,22.525058525631838,22.697294187572904,22.403740538316296,21.346437736798325,21.544792995315728,18.7129737776993,20.146126441076625,15.821973292515047,22.903397027600853,22.389639935249594
8,L9,17.56,2072.02,22.45958947085363,23.216033696866624,23.96069235576399,26.871283415491504,25.309227831942888,26.72482087019461,25.464734485178624,24.39170187397942,24.566925387171082,20.66813108171237,23.52373959429931,22.436138652851554
9,L10,20.6,2058.06,22.58166920005826,22.62098348663757,22.75306289761294,22.992944317315022,22.673791586149985,21.61337943787472,21.780829834090277,18.72866514052048,20.229153458924095,15.300543732169661,22.93288281913388,22.586514573637988
10,L11,6.22,2045.8,24.134840189128827,31.622663897953128,29.176684185379838,34.95210734057496,31.269764895223247,33.29883576213888,31.876178760074936,32.48028403302272,31.897758188936116,31.3877084420587,19.873297882694366,23.412670633531675
11,L12,23.31,2058.1,21.749100836977913,18.317972350230416,19.362544623405213,16.051678108314263,17.628033895342984,14.229850864842678,15.921164211983275,11.753252328182633,14.107184259128378,8.881012104654385,23.528267176112646,22.457867993668174
12,L13,21.12,2054.11,22.076025575906062,22.15900102823697,22.43344481605351,22.823879401584716,22.41831880030928,21.59781267860808,21.69675947361202,19.1526036038809,20.357012903406392,15.899919490304049,22.847436033549208,22.12722388007456
13,L14,13.2,2058.51,24.68394378400989,27.67775932297228,25.991228153994633,26.322982550932846,25.494024146760985,23.044704449260074,23.867614498767633,19.151573081035547,21.77656404746921,16.19407194273205,21.620426074032135,24.772673568871813
14,L15,8.98,2055.35,25.879905585682483,28.675794572685483,27.072257152139436,27.867268450829574,27.220788529673012,27.039277257852028,26.964932568522787,26.187556593702972,26.65706300583077,25.742132605375932,21.95788728656109,27.469584245076582
15,L16,8.16,2050.56,23.347986360359887,27.88424456376635,26.232374851411734,29.242479619889078,27.099383986752784,26.7725988700565,26.277557761290467,22.92567540200089,24.62430479943796,19.91849058479278,21.4337532734093,22.231457744568786
16,L17,19.6,2058.56,22.824479368968298,22.649475463974607,22.868331129169118,22.95099160945843,22.731581491399517,21.62506896171246,21.83037352302484,18.835583706595603,20.379683946585807,16.00370269128501,23.301958564073527,22.807109664207516
17,L18,19.6,2060.02,22.772073845280467,23.515974962176273,23.295640225432436,23.425923277169098,22.96851995447069,21.242939099735217,21.799802548489104,18.409551116942865,20.199568487958484,15.491764273209691,23.126061721404305,22.396590053739914
18,L19,22.18,2034.55,21.034311473634286,20.736101705806462,21.240226816221142,21.651591332371396,21.26860347430771,20.53397062036185,20.590131429629658,18.049058608580722,19.23605321998049,14.99775722626667,21.78548047490136,21.48257034859303
19,L20,19.86,2055.18,22.60823448564343,23.333069643722375,23.28968969122012,24.4776669654151,23.944241528601548,24.667652381162554,23.902583364953824,22.64546167354635,23.034816192540784,19.802880744341397,22.794911265636888,22.45306961886842
20,L21,22.61,2057.53,21.848868173279104,18.563294517704275,19.671103551737648,16.651409972792226,18.030841180420133,14.658081087820495,16.285407145622198,11.923869446046382,14.365859199661132,8.8730607767205,23.678994868164928,22.527482145357794
21,L22,19.54,2054.67,22.699109260331273,23.63904213877519,23.307247623142707,23.517184167617547,23.00390132857549,21.257679271263637,21.78549471788941,18.214440198100323,20.13822380313721,15.529790052008657,22.677211326663304,22.485849015336427
